C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution,class_number
-1.483490,0.508000,0.055430,-0.031600,0.474900,-1.765400,-1.096160,1.083550,-1.292420,0.709650,3
-0.170890,-2.735830,0.290450,0.091280,-0.474900,-1.765400,0.126920,1.083550,1.029550,0.709650,3
0.354150,0.183610,0.760490,-0.523120,-0.474900,-1.184240,0.126920,-1.468810,-1.872910,0.709650,2
0.354150,-1.330170,0.525470,0.705680,0.949800,-0.603090,0.126920,-0.192630,-0.131430,-0.640080,3
2.716840,1.264890,1.230530,0.951450,0.474900,1.140380,-0.484620,-0.830720,-0.711930,-0.640080,2
1.666760,0.940510,-0.414610,0.337040,0.949800,-0.021930,1.350010,-0.830720,-1.292420,0.709650,2
0.091630,-0.032640,-1.354690,0.000000,0.000000,0.559230,1.350010,1.083550,-1.292420,0.709650,1
1.141720,-0.573280,-0.179590,-0.400240,1.424710,1.140380,-1.707700,-0.830720,-0.711930,-0.640080,1
0.354150,1.264890,-0.884650,-0.154480,0.474900,0.559230,0.738470,0.445460,1.029550,0.709650,2
-0.695930,-1.546430,-1.354690,0.459920,0.474900,1.140380,0.126920,-1.468810,-1.292420,0.000000,1
0.879200,0.399870,0.290450,-1.751920,0.474900,-0.603090,0.738470,1.083550,-0.131430,-0.640080,3
-1.483490,-0.465150,0.290450,-1.137520,0.474900,-0.603090,0.126920,-1.468810,1.610050,2.059370,2
1.404240,0.291740,1.230530,-0.891760,0.474900,0.559230,0.126920,-0.192630,-0.711930,0.709650,2
-0.695930,-0.032640,-0.179590,1.934490,-0.474900,0.559230,-0.484620,1.083550,-0.131430,-0.640080,1
-0.433410,0.183610,1.465550,-1.383280,-0.949800,-0.021930,1.350010,-0.830720,0.449060,-0.640080,2
0.879200,0.399870,1.465550,0.951450,-0.474900,1.140380,0.126920,1.083550,-0.711930,-0.640080,3
0.616670,1.048630,0.290450,-1.751920,-0.474900,-0.603090,-0.484620,-1.468810,0.449060,0.000000,2
0.091630,0.075490,-0.649630,0.214160,0.474900,-1.184240,0.126920,-2.106910,-0.131430,2.059370,2
0.354150,-1.654560,-0.649630,-0.277360,0.949800,0.559230,-0.484620,0.445460,0.449060,0.709650,1
1.404240,-0.681410,1.230530,0.459920,0.474900,-0.021930,-0.484620,-0.192630,1.610050,0.000000,2
0.879200,-0.357030,0.525470,1.320090,-2.374510,-0.021930,-1.096160,-0.830720,-1.872910,0.709650,1
-0.695930,-0.357030,0.995510,-0.768880,0.000000,1.140380,-1.096160,-1.468810,-0.711930,2.059370,2
0.354150,-0.140770,0.055430,1.197210,0.474900,1.140380,-1.096160,1.083550,0.449060,-0.640080,1
0.091630,1.589270,-0.649630,-0.768880,0.000000,-1.184240,-1.096160,1.083550,-0.131430,-1.989800,3
1.141720,-0.357030,-0.414610,-0.400240,0.000000,1.140380,-0.484620,1.083550,-0.711930,0.709650,1
-0.433410,0.724250,0.760490,-0.523120,1.424710,-1.765400,1.350010,-0.192630,-0.711930,-0.640080,2
0.354150,1.481150,-0.414610,-0.031600,-0.949800,0.559230,0.126920,-1.468810,0.449060,0.709650,2
0.091630,-0.032640,0.760490,-1.137520,-1.424710,-1.184240,0.126920,-0.192630,-0.131430,-0.640080,3
0.354150,-1.222050,-0.179590,-1.137520,-1.424710,-1.765400,-1.096160,0.445460,-1.872910,0.000000,3
0.091630,-0.681410,0.995510,0.828560,0.474900,-1.184240,1.350010,0.445460,-0.711930,0.000000,3
1.141720,-0.032640,0.995510,-1.629040,0.000000,-0.021930,1.350010,0.445460,1.029550,-0.640080,2
-0.958450,0.291740,-1.589710,0.705680,0.474900,1.140380,-1.096160,1.083550,0.449060,0.709650,1
0.091630,-0.573280,0.290450,0.582800,-0.474900,-0.021930,0.126920,1.083550,0.449060,2.059370,3
-0.958450,0.075490,-0.179590,-0.400240,-1.424710,-0.603090,0.738470,0.445460,1.610050,0.709650,3
-0.695930,0.724250,0.760490,1.074330,-1.424710,0.559230,-1.096160,0.445460,1.029550,-0.640080,3
0.354150,0.508000,0.290450,0.091280,0.000000,-1.184240,-0.484620,1.083550,0.449060,-0.640080,3
0.091630,0.508000,0.525470,0.091280,0.949800,1.140380,1.350010,-1.468810,-0.711930,0.000000,2
0.879200,0.832380,0.290450,0.951450,1.899610,0.559230,-1.096160,1.083550,-0.131430,0.709650,2
0.354150,-1.005790,0.760490,0.214160,-0.474900,-0.603090,0.738470,1.083550,0.449060,2.059370,3
0.091630,0.724250,-0.884650,-0.277360,-0.949800,1.140380,-1.096160,-0.830720,-1.292420,-1.989800,1
1.666760,-0.032640,-0.414610,0.951450,0.000000,-1.184240,-1.096160,1.083550,-0.711930,0.709650,3
1.404240,0.075490,-2.764800,-0.031600,-0.474900,1.140380,-1.707700,1.083550,-0.131430,0.709650,1
-2.008530,1.373020,-0.179590,-0.400240,0.949800,0.559230,-0.484620,1.083550,-0.711930,-0.640080,2
-1.483490,1.264890,-1.119670,1.074330,-2.374510,0.559230,-0.484620,0.445460,1.610050,-0.640080,1
-0.433410,0.616120,1.465550,-0.154480,-1.424710,0.559230,-1.096160,-0.192630,1.029550,-0.640080,2
-0.695930,1.048630,-0.649630,-0.523120,0.949800,1.140380,0.126920,-0.830720,1.029550,-0.640080,2
0.879200,-0.897660,-1.119670,-0.400240,-1.424710,1.140380,1.350010,-1.468810,-0.711930,0.709650,1
-1.220970,-0.140770,-0.884650,-0.031600,0.949800,0.559230,-1.707700,1.083550,-1.292420,0.709650,1
1.141720,-1.330170,-0.649630,0.582800,0.949800,0.559230,-0.484620,-2.106910,-0.131430,-0.640080,1
-0.170890,0.508000,0.290450,0.337040,1.424710,1.140380,0.126920,0.445460,0.449060,0.709650,2
-0.695930,0.832380,0.055430,0.091280,0.474900,-1.765400,1.350010,0.445460,1.029550,-0.640080,3
-0.170890,-1.222050,-0.649630,1.688730,0.949800,1.140380,-1.096160,-1.468810,1.610050,0.709650,1
0.354150,0.940510,-2.059750,2.303130,0.949800,0.559230,0.738470,0.445460,1.029550,-0.640080,1
0.091630,0.832380,-0.179590,0.582800,-0.949800,-1.184240,0.126920,0.445460,0.449060,0.709650,3
-0.958450,1.697400,-0.179590,-0.523120,1.424710,1.140380,-1.096160,-1.468810,-0.711930,0.709650,2
-2.271050,0.616120,-0.649630,-1.014640,0.000000,-0.021930,1.350010,-1.468810,-0.131430,-0.640080,2
-0.170890,-1.113920,0.525470,-3.226490,-0.474900,-0.603090,-0.484620,0.445460,1.610050,-0.640080,3
0.091630,-0.573280,0.290450,1.811610,-0.474900,-1.184240,0.738470,0.445460,-1.292420,-0.640080,3
-0.958450,-1.762690,-0.414610,-1.629040,-0.474900,-1.184240,1.350010,-0.192630,-1.292420,-0.640080,3
0.616670,1.156760,0.760490,0.459920,-1.424710,-0.021930,0.738470,1.083550,-1.292420,0.709650,3
0.879200,0.508000,-0.884650,-0.523120,-0.949800,-1.765400,1.350010,1.083550,1.610050,-1.989800,3
-2.271050,-0.681410,0.290450,0.459920,-0.949800,1.140380,1.350010,-0.192630,-0.131430,0.709650,1
0.616670,1.589270,-0.179590,1.074330,0.949800,-0.603090,-0.484620,1.083550,1.029550,-0.640080,3
-1.483490,0.508000,-2.059750,1.811610,0.474900,1.140380,-1.096160,-0.830720,0.449060,0.709650,1
1.404240,0.291740,-0.884650,0.828560,-0.949800,1.140380,1.350010,-1.468810,-0.711930,-0.640080,1
-0.695930,0.832380,0.525470,0.337040,-0.474900,-0.603090,1.350010,-0.830720,0.449060,0.000000,2
-0.958450,1.589270,2.640640,0.337040,0.949800,-1.184240,-1.096160,-0.192630,-1.872910,-0.640080,2
0.354150,-2.519580,-0.179590,-1.014640,-2.849410,-1.184240,1.350010,1.083550,0.449060,0.709650,3
-0.433410,0.508000,1.465550,0.337040,0.474900,-1.765400,1.350010,0.445460,1.610050,-1.989800,3
-2.008530,-0.248900,-1.589710,0.951450,0.474900,0.559230,1.350010,1.083550,-0.711930,0.709650,1
-0.958450,-0.897660,-0.414610,0.705680,1.424710,1.140380,-0.484620,1.083550,-1.872910,-1.989800,1
-3.321130,-0.248900,0.525470,-0.891760,0.474900,-1.184240,1.350010,-0.192630,1.029550,2.059370,2
2.191800,-0.248900,-0.414610,0.705680,-0.949800,-0.603090,-1.096160,0.445460,0.449060,2.059370,3
-0.695930,-1.978940,-0.179590,2.671770,1.424710,-0.603090,0.738470,-1.468810,0.449060,-0.640080,1
0.091630,-0.140770,1.465550,-0.646000,-0.949800,0.559230,0.126920,-0.830720,-1.292420,2.059370,2
-0.958450,-0.140770,1.935580,1.074330,0.949800,1.140380,0.738470,1.083550,1.610050,0.709650,2
1.404240,-0.140770,-2.059750,-0.154480,0.474900,1.140380,-0.484620,-1.468810,1.610050,-0.640080,1
0.091630,1.913660,0.290450,-2.120560,-0.474900,-1.184240,-1.096160,0.445460,-1.292420,0.709650,2
-0.958450,-0.789540,-0.414610,-1.260400,0.949800,-0.021930,-1.707700,-2.106910,1.029550,0.709650,2
0.354150,-0.573280,-1.354690,-0.154480,-1.424710,1.140380,-1.096160,-0.192630,0.449060,-1.989800,1
0.616670,-0.032640,-0.649630,-0.523120,-0.474900,-0.603090,0.738470,0.445460,-0.131430,-0.640080,3
0.616670,-0.140770,2.875660,-0.400240,0.474900,-0.603090,1.350010,-0.192630,0.449060,-0.640080,2
